🌏 Asian (non-Indic),,,
Region,Language,Script,Speakers,Status,Language Code
Asian (non-Indic),Chinese (Mandarin),Chinese,918M,Available,zh-CN
Asian (non-Indic),Chinese (Cantonese),Chinese,84M,Available,zh-HK
Asian (non-Indic),Chinese (Wu),Chinese,81M,Available,wuu
Asian (non-Indic),Chinese (Min),Chinese,70M,Available,nan
Asian (non-Indic),Chinese (Hakka),Chinese,48M,Available,hak
Asian (non-Indic),Chinese (Gan),Chinese,22M,Available,gan
Asian (non-Indic),Chinese (Xiang),Chinese,38M,Available,hsn
Asian (non-Indic),Japanese,Japanese,125M,Available,ja
Asian (non-Indic),Korean,Hangul,82M,Available,ko
Asian (non-Indic),Vietnamese,Latin,85M,Available,vi
Asian (non-Indic),Thai,Thai,71M,Available,th
Asian (non-Indic),Lao,Lao,7M,Available,lo
Asian (non-Indic),Khmer (Cambodian),Khmer,16M,Available,km
Asian (non-Indic),Burmese,Myanmar,37M,Available,my
Asian (non-Indic),Mon,Mon,1.1M,Coming Soon,mnw
Asian (non-Indic),Shan,Myanmar,5.2M,Coming Soon,shn
Asian (non-Indic),Bahasa Indonesia,Latin,199M,Available,id
Asian (non-Indic),Bahasa Melayu,Latin,19M,Available,ms
Asian (non-Indic),Tagalog,Latin,28M,Available,tl
Asian (non-Indic),Cebuano,Latin,22M,Coming Soon,ceb
Asian (non-Indic),Hiligaynon,Latin,9M,Coming Soon,hil
Asian (non-Indic),Waray,Latin,3.1M,Coming Soon,war
Asian (non-Indic),Bikol,Latin,2.5M,Coming Soon,bcl
Asian (non-Indic),Pangasinan,Latin,1.2M,Coming Soon,pag
Asian (non-Indic),Kapampangan,Latin,2.9M,Coming Soon,pam
Asian (non-Indic),Ilocano,Latin,9.1M,Coming Soon,ilo
Asian (non-Indic),Javanese,Latin,69M,Available,jv
Asian (non-Indic),Sundanese,Latin,42M,Available,su
Asian (non-Indic),Madurese,Latin,13M,Available,mad
Asian (non-Indic),Buginese,Lontara,5M,Available,bug
Asian (non-Indic),Acehnese,Latin,3.5M,Available,ace
Asian (non-Indic),Tibetan,Tibetan,1.2M,Available,bo
Asian (non-Indic),Dzongkha,Tibetan,1.7M,Coming Soon,dz
Asian (non-Indic),Mongolian,Cyrillic,5.7M,Available,mn
Asian (non-Indic),Hmong,Latin,4.2M,Coming Soon,hmn
Asian (non-Indic),Mien,Latin,2.7M,Coming Soon,ium
Asian (non-Indic),Tok Pisin,Latin,5.4M,Coming Soon,tpi
Asian (non-Indic),Sinhala,Sinhala,17M,Available,si
Asian (non-Indic),Fijian,Latin,1.4M,Coming Soon,fj
Asian (non-Indic),Tetum,Latin,1.2M,Coming Soon,tet
Asian (non-Indic),Maori,Latin,0.15M,Available,mi
Asian (non-Indic),Hawaiian,Latin,0.024M,Available,haw
🇮🇳 Indic,,,
Region,Language,Script,Speakers,Status,Language Code
Indic,Hindi,Devanagari,600M,Available,hi
Indic,Bengali (India),Bengali,98M,Available,bn-IN
Indic,Bengali (Bangladesh),Bengali,165M,Available,bn-BD
